record,species,count,lat
254,Wandering albatross sensu lato SUBAD,6,-46
255,Black-browed albatross sensu lato AD,7,-46
256,Black-browed albatross sensu lato SUBAD,2,-46
257,Cape petrel,3,-46
258,Sooty shearwater,1,-46
259,Wandering albatross sensu lato SUBAD,1,-46
260,Cape petrel,1,-46
261,Grey-faced petrel,2,-45
262,Wandering albatross sensu lato PL1,1,-46
263,Wandering albatross sensu lato PL2,1,-46
264,Wandering albatross sensu lato PL3,2,-46
265,Wandering albatross sensu lato PL4,1,-46
266,Cape petrel,3,-46
267,Grey-faced petrel,3,-46
268,Wandering albatross sensu lato SUBAD,8,-46
269,Black-browed albatross sensu lato,1,-46
270,Cape petrel,2,-46
271,Buller's mollymawk,1,-45
272,Shy / White-capped mollymawk,1,-45
273,Salvin's mollymawk,2,-45
274,Grey-headed mollymawk,1,-45
275,Cape petrel,6,-45
276,Sooty shearwater,50,-45
277,Southern black-backed gull,25,-45
278,Salvin's mollymawk,2,-44
279,Cape petrel,3,-43
280,Sooty shearwater,500,-43
281,Southern black-backed gull AD,20,-43
282,Cape petrel,6,-43
283,Sooty shearwater,250,-43
284,Buller's mollymawk,1,-43
285,Giant petrel sensu lato,2,-43
286,Cape petrel,6,-43
287,Prion (unidentified),2,-43
288,Sooty shearwater,200,-43
289,Southern black-backed gull,2,-43
290,Salvin's mollymawk,1,-43
291,Giant petrel sensu lato,1,-42
292,Cape petrel,9,-42
293,Sooty shearwater,200,-41
294,Buller's mollymawk,1,-41
295,Giant petrel sensu lato,2,-41
296,Cape petrel,9,-41
297,Sooty shearwater,100,-41
298,Southern black-backed gull AD,1,-41
299,Salvin's mollymawk,1,-41
300,Giant petrel sensu lato,1,-41
301,Cape petrel,8,-40
302,Prion (unidentified),2,-40
303,Sooty shearwater,20,-40
304,Southern black-backed gull AD,9,-40
305,Cape petrel,7,-40
306,Prion (unidentified),3,-38
307,Sooty shearwater,15,-38
308,Southern black-backed gull AD,6,-38
309,Wandering albatross sensu lato PL3,3,-38
310,Wandering albatross sensu lato PL4,1,-39
311,Southern royal albatross,2,-39
312,Shy / white-capped / Salvin's /  Chatham mollymawk,1,-39
313,Cape petrel,12,-40
314,Sooty shearwater,8,-40
315,Black / White-bellied storm-petrel,1,-40
316,Wandering albatross sensu lato PL3,2,-40
317,Wandering albatross sensu lato PL4,1,-40
318,Southern royal albatross,1,-40
319,Shy / white-capped / Salvin's /  Chatham mollymawk,2,-40
320,Cape petrel,14,-40
321,Mottled petrel,6,-41
322,Sooty shearwater,6,-42
323,Wandering albatross sensu lato PL2,4,-42
324,Wandering albatross sensu lato PL3,6,-42
325,Wandering albatross sensu lato PL4,2,-42
326,Southern royal albatross,2,-42
327,Cape petrel,2,-43
328,Sooty shearwater,4,-43
329,Wandering albatross sensu lato AD,7,-43
330,Wandering albatross sensu lato PL2,2,-43
331,Wandering albatross sensu lato PL3,4,-43
332,Wandering albatross sensu lato PL4,2,-43
333,Wandering albatross sensu lato PL5,1,-44
334,Cape petrel,1,-44
335,Sooty shearwater,6,-45
336,Black / White-bellied storm-petrel,2,-45
337,Wandering albatross sensu lato PL1,1,-45
338,Wandering albatross sensu lato PL2,2,-45
339,Wandering albatross sensu lato PL3,3,-45
340,White-chinned petrel,1,-45
341,Sooty shearwater,3,-45
342,Black / White-bellied storm-petrel,2,-45
343,Wandering albatross sensu lato PL2,1,-45
344,Wandering albatross sensu lato PL3,3,-46
345,Wandering albatross sensu lato PL4,1,-46
346,Prion (unidentified),30,-46
347,Sooty shearwater,2,-46
348,Black / White-bellied storm-petrel,8,-45
349,Wandering albatross sensu lato PL2,1,-45
350,Wandering albatross sensu lato PL3,2,-45
351,Wandering albatross sensu lato PL4,1,-45
352,Wandering albatross sensu lato PL2,1,-44
353,Wandering albatross sensu lato PL3,3,-44
354,Wandering albatross sensu lato PL4,1,-44
355,Black / White-bellied storm-petrel,2,-44
356,Wandering albatross sensu lato PL2,2,-44
357,Wandering albatross sensu lato PL3,3,-30
358,Wandering albatross sensu lato PL4,1,-30
359,Giant petrel sensu lato,1,-30
360,Prion (unidentified),2,-30
361,White-faced storm petrel,1,-30
362,Black / White-bellied storm-petrel,1,-30
363,Wandering albatross sensu lato PL1,1,-30
364,Wandering albatross sensu lato PL2,1,-30
365,Wandering albatross sensu lato PL3,3,-30
366,Wandering albatross sensu lato PL4,1,-30
367,Wandering albatross sensu lato PL2,1,-30
368,Wandering albatross sensu lato PL3,3,-30
369,Wandering albatross sensu lato PL4,1,-30
370,Shy / white-capped / Salvin's /  Chatham mollymawk,1,-30
371,Wandering albatross sensu lato PL2,2,-31
372,Wandering albatross sensu lato PL3,3,-31
373,Wandering albatross sensu lato PL4,1,-31
374,White-chinned petrel,2,-31
375,Wandering albatross sensu lato PL2,2,-31
376,Wandering albatross sensu lato PL3,2,-31
377,Wandering albatross sensu lato PL4,2,-31
378,Wandering albatross sensu lato PL1,1,-31
379,Wandering albatross sensu lato PL2,2,-31
380,Wandering albatross sensu lato PL3,3,-31
381,Wandering albatross sensu lato PL4,1,-31
382,Shy / white-capped / Salvin's /  Chatham mollymawk,3,-31
383,Short-tailed shearwater,2,-31
384,Wandering albatross sensu lato PL2,2,-31
385,Wandering albatross sensu lato PL3,3,-31
386,Wandering albatross sensu lato PL4,1,-31
387,Short-tailed shearwater,4,-31
388,Wandering albatross sensu lato PL2,2,-34
389,Wandering albatross sensu lato PL3,3,-34
390,Wandering albatross sensu lato PL4,2,-34
391,Short-tailed shearwater,2,-34
392,Wandering albatross sensu lato PL2,2,-34
393,Wandering albatross sensu lato PL3,3,-34
394,Wandering albatross sensu lato PL4,2,-34
395,Short-tailed shearwater,1,-34
396,Wandering albatross sensu lato PL2,3,-34
397,Wandering albatross sensu lato PL3,3,-34
398,Wandering albatross sensu lato PL4,2,-34
399,White-chinned petrel,1,-34
400,Short-tailed shearwater,1,-34
401,Wandering albatross sensu lato PL3,1,-34
402,Grey-faced petrel,1,-34
403,Wandering albatross sensu lato PL2,1,-34
404,Wandering albatross sensu lato PL3,1,-35
405,Grey-faced petrel,1,-37
406,Short-tailed shearwater,1,-37
407,Wandering albatross sensu lato PL1,1,-37
408,Wandering albatross sensu lato PL2,2,-37
